climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
9203,51.5833,9.3,WW,278,16,219,,261,292,206,232
9205,51.6667,9.05,WW,269,5,221,,255,283,216,238
9241,51.35,7.95,WW,262,15,219,,237,305,196,248
9243,51.3,8.0333,WW,275,14,224,,261,290,207,244
9245,51.3167,8.0667,WW,269,11,222,,260,283,209,241
9247,51.45,8.35,WW,281,11,225,,265,298,212,236
9265,51.45,7.6667,WW,287,4,216,,276,303,200,241
9269,51.6667,8.35,WW,285,13,215,,278,297,199,240
9273,51.5333,8.2833,WW,270,11,219,,259,283,196,235
9275,51.6167,8.3333,WW,283,10,212,,267,291,188,227
9276,51.45,8.4333,WW,273,14,234,,245,302,207,255
9278,51.35,8.3333,WW,265,16,223,,249,286,204,235
9291,51.15,8.2833,WW,272,16,224,,256,300,211,235
9299,51.1333,7.9833,WW,282,16,226,,273,298,214,247
9319,50.9167,8.1,WW,264,15,216,,253,278,205,229
9326,51.5,8.05,WW,269,16,211,,264,274,201,219
9337,50.9833,8.4667,WW,277,6,230,,273,281,226,235
9351,51.35,7.4333,WW,284,12,212,,275,299,199,241
9358,51.4667,7.3667,WW,295,3,217,,284,309,206,225
9363,51.4189,7.425,WW,290,16,224,,258,305,200,240
9372,51.4333,7.5833,WW,278,16,217,,272,289,204,230
9374,51.5833,7.6667,WW,289,16,220,,283,301,203,231
9379,51.5833,7.8833,WW,285,7,219,,280,290,211,234
9389,50.75,9.4667,WW,276,15,230,,268,297,210,240
9391,50.6167,9.2167,WW,276,9,229,,269,285,216,249
9392,50.6167,9.1167,WW,273,10,215,,263,284,197,228
9401,49.6667,8.65,WW,287,16,204,,279,299,191,215
9416,50.45,9.1333,WW,280,8,214,,274,291,201,229
9420,50.4167,8.9833,WW,274,4,213,,263,296,210,224
9429,49.8,8.6,WW,291,16,208,,284,305,198,222
9434,49.7667,8.8833,WW,282,16,213,,267,317,198,232
9436,49.8667,9.0167,WW,275,16,213,,254,302,198,246
9443,49.8833,9,WW,283,4,207,,270,297,194,224
9450,49.75,9.1,WW,273,14,218,,249,293,198,237
9455,49.7333,9,WW,282,16,214,,270,291,203,222
9456,49.6833,9,WW,282,16,216,,275,291,206,235
9461,49.7167,8.8333,WW,281,16,207,,269,297,195,222
9462,49.7833,9.0333,WW,288,16,214,,277,307,198,227
9468,50.3333,8.75,WW,284,10,207,,275,291,197,216
9478,50.4,8.8167,WW,284,11,211,,269,297,208,215
9480,50.5833,8.75,WW,280,10,211,,275,285,203,223
9490,50.5167,8.8167,WW,276,16,213,,258,288,197,229
9500,49.9167,8.4833,WW,289,6,208,,268,314,197,219
9501,49.9667,8.5667,WW,290,14,206,,286,298,195,222
9504,50.6333,9.45,WW,279,16,227,,272,285,216,246
9505,50.4667,9.3167,WW,275,16,229,,263,291,213,257
9508,50.5667,9.35,WW,279,8,230,,273,288,212,249
9522,50.05,8.9333,WW,275,15,203,,253,294,192,227
9530,50.1167,8.9167,WW,280,14,214,,274,306,201,233
9531,50.55,9.6667,WW,278,8,223,,264,288,205,247
9534,50.8167,8.7833,WW,271,12,210,,266,281,198,219
9535,51.1833,9.9333,WW,273,13,211,,262,285,194,221
9536,51.1833,10.1167,WW,285,16,220,,273,295,208,231
9540,51.2,10.0667,WW,273,11,211,,254,281,199,231
9542,51.2167,10.0167,WW,287,16,218,,275,298,208,226
9550,50.9833,8.7333,WW,277,16,217,,268,289,207,231
9558,51.1667,8.9,WW,283,4,222,,277,289,215,227
9568,51.0333,9.4,WW,275,16,212,,268,282,199,222
9571,50.9833,9.2667,WW,271,16,209,,253,297,199,222
9592,50.6167,9.7167,WW,278,7,223,,258,285,211,235
9593,50.5667,9.7667,WW,283,14,219,,272,301,201,234
9603,50.5333,9.65,WW,278,3,218,,277,280,214,226
9604,50.6333,10.0167,WW,275,5,222,,268,288,201,254
9607,50.5,10.0167,WW,277,16,228,,267,289,214,250
9611,50.8333,9.5667,WW,282,8,217,,267,290,209,225
9614,50.85,10,WW,280,10,219,,254,297,200,235
9617,51.6,9.55,WW,275,6,212,,252,291,191,244
9618,51.45,9.4167,WW,275,16,220,,261,293,213,228
9619,51.4833,9.25,WW,266,16,220,,250,284,208,232
9621,51.4,9.4667,WW,275,16,218,,264,287,201,229
9626,51.4667,9.4833,WW,289,4,225,,283,295,222,230
9634,50.75,9.8167,WW,285,16,225,,277,303,208,244
9643,50.7833,9.8667,WW,267,3,214,,263,272,213,216
9645,51.2667,9.3833,WW,272,11,218,,263,286,201,230
9646,51.2833,9.6,WW,276,16,217,,266,289,207,230
9649,51.3833,9.5167,WW,276,16,218,,266,286,206,230
9651,51.2333,9.5667,WW,277,15,218,,266,291,108,247
9663,50.6833,8.6,WW,281,16,220,,273,292,209,234
9667,50.85,9.1167,WW,275,8,220,,261,283,207,235
9668,50.7333,8.7,WW,280,14,213,,272,290,203,230
9675,50.8833,8.9833,WW,274,5,216,,270,283,202,227
9684,51.1,9.5333,WW,278,16,219,,258,298,209,238
9691,51.0333,9.9,WW,267,8,224,,263,273,216,233
9697,50.9833,9.5333,WW,278,14,222,,271,286,213,233
9698,51.0167,9.9333,WW,275,16,224,,262,292,213,246
9702,50.95,10.0333,WW,276,7,215,,268,284,205,230
9703,50.95,9.9667,WW,280,4,215,,275,284,214,218
9706,50.95,9.8667,WW,278,16,217,,264,302,207,229
9723,51.35,8.7333,WW,281,9,227,,272,285,215,244
9730,51.3333,8.9,WW,265,10,219,,258,272,210,229
9732,51.4667,9.0167,WW,284,16,222,,269,293,207,234
9735,51.35,8.7,WW,280,7,230,,274,292,210,240
9741,51.5167,9,WW,278,3,230,,268,293,226,237
9764,51.45,9.25,WW,271,16,215,,263,281,210,230
9766,51.3333,9.1667,WW,278,4,219,,270,285,212,226
9768,51.241,9.2629,WW,273,15,217,,266,279,207,230
9770,50.9,9.2167,WW,273,7,211,,257,290,201,225
9776,50.8667,9.35,WW,273,16,215,,267,286,200,230
9777,50.8667,9.4667,WW,275,16,218,,268,284,208,229
9778,51,9.0667,WW,274,15,219,,264,292,208,230
9794,50.05,8.3,WW,272,4,206,,248,293,192,214
9798,50.8,8.5833,WW,273,16,215,,265,283,199,234
9816,50.7167,8.4333,WW,271,3,225,,266,278,215,240
9825,50.1167,9.4833,WW,275,8,223,,263,284,200,247
9831,50.25,9.2833,WW,274,3,212,,263,284,197,226
9833,50.15,8.75,WW,281,16,209,,274,293,193,227
9835,50.15,8.8333,WW,289,5,216,,283,298,206,242
9837,50.1667,8.9833,WW,294,11,207,,282,313,196,215
9842,50.45,8.0333,WW,279,16,208,,272,293,198,230
9845,50.3167,8.15,WW,279,3,211,,278,282,211,213
9848,50.3833,8.0333,WW,280,16,208,,272,294,197,216
9852,50.0167,8.4333,WW,290,8,205,,283,312,198,214
9860,50.1167,8.3667,WW,274,14,213,,262,284,206,219
9872,50.0167,7.95,WW,279,16,210,,263,301,198,222
9881,50.2667,9.5167,WW,268,7,216,,256,293,201,228
9883,50.2833,9.3667,WW,283,9,215,,280,291,211,227
9885,50.3,9.3667,WW,280,9,215,,273,289,201,228
9894,50.2167,8.2667,WW,273,10,212,,270,277,199,223
9896,50.1667,8.0667,WW,278,10,223,,266,290,214,238
9901,50.3,8.5167,WW,280,7,222,,261,302,214,230
9905,50.25,8.35,WW,267,11,222,,256,286,211,233
9911,50.5667,8.2833,WW,275,14,214,,263,292,198,226
9913,50.5167,8.3833,WW,278,9,225,,252,287,190,241
